GEOID,variable,est_2009,est_2019,borough,PUMA,label,concept
3603702,B05002_001,141622,151305,Bronx,3702,Estimate!!Total:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603702,B05002_003,70535,73782,Bronx,3702,Estimate!!Total:!!Native:!!Born in state of residence,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603702,B05002_004,8420,8601,Bronx,3702,Estimate!!Total:!!Native:!!Born in other state in the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603702,B05002_009,6925,8600,Bronx,3702,Estimate!!Total:!!Native:!!Born outside the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603702,B05002_013,55742,60322,Bronx,3702,Estimate!!Total:!!Foreign born:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603702,B07001_001,139948,149067,Bronx,3702,Estimate!!Total:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603702,B07001_017,126519,134817,Bronx,3702,Estimate!!Total:!!Same house 1 year ago:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603702,B07001_033,8350,8479,Bronx,3702,Estimate!!Total:!!Moved within same county:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603702,B07001_049,2539,3067,Bronx,3702,Estimate!!Total:!!Moved from different county within same state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603702,B07001_065,927,1011,Bronx,3702,Estimate!!Total:!!Moved from different state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603702,B07001_081,1613,1693,Bronx,3702,Estimate!!Total:!!Moved from abroad:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603702,B25010_001,2.98,2.96,Bronx,3702,Estimate!!Average household size --!!Total:,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603702,B25010_002,3.43,3.34,Bronx,3702,Estimate!!Average household size --!!Total:!!Owner occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603702,B25010_003,2.72,2.72,Bronx,3702,Estimate!!Average household size --!!Total:!!Renter occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603703,B05002_001,123832,119645,Bronx,3703,Estimate!!Total:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603703,B05002_003,81480,76526,Bronx,3703,Estimate!!Total:!!Native:!!Born in state of residence,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603703,B05002_004,9056,7042,Bronx,3703,Estimate!!Total:!!Native:!!Born in other state in the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603703,B05002_009,8333,9116,Bronx,3703,Estimate!!Total:!!Native:!!Born outside the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603703,B05002_013,24963,26961,Bronx,3703,Estimate!!Total:!!Foreign born:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603703,B07001_001,122959,118607,Bronx,3703,Estimate!!Total:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603703,B07001_017,111327,109731,Bronx,3703,Estimate!!Total:!!Same house 1 year ago:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603703,B07001_033,6402,5942,Bronx,3703,Estimate!!Total:!!Moved within same county:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603703,B07001_049,2974,1349,Bronx,3703,Estimate!!Total:!!Moved from different county within same state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603703,B07001_065,1376,1024,Bronx,3703,Estimate!!Total:!!Moved from different state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603703,B07001_081,880,561,Bronx,3703,Estimate!!Total:!!Moved from abroad:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603703,B25010_001,2.54,2.42,Bronx,3703,Estimate!!Average household size --!!Total:,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603703,B25010_002,2.8,2.62,Bronx,3703,Estimate!!Average household size --!!Total:!!Owner occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603703,B25010_003,2.33,2.24,Bronx,3703,Estimate!!Average household size --!!Total:!!Renter occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603704,B05002_001,129963,126733,Bronx,3704,Estimate!!Total:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603704,B05002_003,68426,66223,Bronx,3704,Estimate!!Total:!!Native:!!Born in state of residence,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603704,B05002_004,6622,5938,Bronx,3704,Estimate!!Total:!!Native:!!Born in other state in the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603704,B05002_009,9489,12296,Bronx,3704,Estimate!!Total:!!Native:!!Born outside the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603704,B05002_013,45426,42276,Bronx,3704,Estimate!!Total:!!Foreign born:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603704,B07001_001,128675,125344,Bronx,3704,Estimate!!Total:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603704,B07001_017,115890,114867,Bronx,3704,Estimate!!Total:!!Same house 1 year ago:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603704,B07001_033,8896,6170,Bronx,3704,Estimate!!Total:!!Moved within same county:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603704,B07001_049,1620,2331,Bronx,3704,Estimate!!Total:!!Moved from different county within same state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603704,B07001_065,1147,673,Bronx,3704,Estimate!!Total:!!Moved from different state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603704,B07001_081,1122,1303,Bronx,3704,Estimate!!Total:!!Moved from abroad:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603704,B25010_001,2.87,2.75,Bronx,3704,Estimate!!Average household size --!!Total:,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603704,B25010_002,3.27,3.17,Bronx,3704,Estimate!!Average household size --!!Total:!!Owner occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603704,B25010_003,2.7,2.57,Bronx,3704,Estimate!!Average household size --!!Total:!!Renter occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603705,B05002_001,166534,171842,Bronx,3705,Estimate!!Total:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603705,B05002_003,89114,93633,Bronx,3705,Estimate!!Total:!!Native:!!Born in state of residence,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603705,B05002_004,10978,10489,Bronx,3705,Estimate!!Total:!!Native:!!Born in other state in the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603705,B05002_009,14978,14237,Bronx,3705,Estimate!!Total:!!Native:!!Born outside the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603705,B05002_013,51464,53483,Bronx,3705,Estimate!!Total:!!Foreign born:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603705,B07001_001,163651,169030,Bronx,3705,Estimate!!Total:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603705,B07001_017,142364,153596,Bronx,3705,Estimate!!Total:!!Same house 1 year ago:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603705,B07001_033,14169,8294,Bronx,3705,Estimate!!Total:!!Moved within same county:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603705,B07001_049,3377,3874,Bronx,3705,Estimate!!Total:!!Moved from different county within same state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603705,B07001_065,1965,1757,Bronx,3705,Estimate!!Total:!!Moved from different state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603705,B07001_081,1776,1509,Bronx,3705,Estimate!!Total:!!Moved from abroad:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603705,B25010_001,2.96,2.79,Bronx,3705,Estimate!!Average household size --!!Total:,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603705,B25010_002,3.35,3.43,Bronx,3705,Estimate!!Average household size --!!Total:!!Owner occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603705,B25010_003,2.92,2.75,Bronx,3705,Estimate!!Average household size --!!Total:!!Renter occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603706,B05002_001,125254,132128,Bronx,3706,Estimate!!Total:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603706,B05002_003,58963,61352,Bronx,3706,Estimate!!Total:!!Native:!!Born in state of residence,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603706,B05002_004,4382,4436,Bronx,3706,Estimate!!Total:!!Native:!!Born in other state in the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603706,B05002_009,9420,8419,Bronx,3706,Estimate!!Total:!!Native:!!Born outside the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603706,B05002_013,52489,57921,Bronx,3706,Estimate!!Total:!!Foreign born:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603706,B07001_001,123025,130014,Bronx,3706,Estimate!!Total:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603706,B07001_017,107164,117240,Bronx,3706,Estimate!!Total:!!Same house 1 year ago:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603706,B07001_033,10082,7357,Bronx,3706,Estimate!!Total:!!Moved within same county:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603706,B07001_049,2981,3099,Bronx,3706,Estimate!!Total:!!Moved from different county within same state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603706,B07001_065,880,1011,Bronx,3706,Estimate!!Total:!!Moved from different state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603706,B07001_081,1918,1307,Bronx,3706,Estimate!!Total:!!Moved from abroad:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603706,B25010_001,2.85,2.87,Bronx,3706,Estimate!!Average household size --!!Total:,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603706,B25010_002,2.78,2.93,Bronx,3706,Estimate!!Average household size --!!Total:!!Owner occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603706,B25010_003,2.85,2.86,Bronx,3706,Estimate!!Average household size --!!Total:!!Renter occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603707,B05002_001,132462,139656,Bronx,3707,Estimate!!Total:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603707,B05002_003,61419,65132,Bronx,3707,Estimate!!Total:!!Native:!!Born in state of residence,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603707,B05002_004,7835,5444,Bronx,3707,Estimate!!Total:!!Native:!!Born in other state in the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603707,B05002_009,8391,8514,Bronx,3707,Estimate!!Total:!!Native:!!Born outside the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603707,B05002_013,54817,60566,Bronx,3707,Estimate!!Total:!!Foreign born:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603707,B07001_001,130533,137408,Bronx,3707,Estimate!!Total:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603707,B07001_017,113496,126726,Bronx,3707,Estimate!!Total:!!Same house 1 year ago:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603707,B07001_033,9345,6714,Bronx,3707,Estimate!!Total:!!Moved within same county:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603707,B07001_049,4702,1928,Bronx,3707,Estimate!!Total:!!Moved from different county within same state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603707,B07001_065,1269,613,Bronx,3707,Estimate!!Total:!!Moved from different state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603707,B07001_081,1721,1427,Bronx,3707,Estimate!!Total:!!Moved from abroad:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603707,B25010_001,2.98,2.93,Bronx,3707,Estimate!!Average household size --!!Total:,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603707,B25010_002,3.52,3.21,Bronx,3707,Estimate!!Average household size --!!Total:!!Owner occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603707,B25010_003,2.96,2.92,Bronx,3707,Estimate!!Average household size --!!Total:!!Renter occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603708,B05002_001,141467,141400,Bronx,3708,Estimate!!Total:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603708,B05002_003,68005,65785,Bronx,3708,Estimate!!Total:!!Native:!!Born in state of residence,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603708,B05002_004,7504,7021,Bronx,3708,Estimate!!Total:!!Native:!!Born in other state in the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603708,B05002_009,9139,8224,Bronx,3708,Estimate!!Total:!!Native:!!Born outside the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603708,B05002_013,56819,60370,Bronx,3708,Estimate!!Total:!!Foreign born:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603708,B07001_001,139034,139610,Bronx,3708,Estimate!!Total:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603708,B07001_017,125466,130035,Bronx,3708,Estimate!!Total:!!Same house 1 year ago:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603708,B07001_033,7868,4991,Bronx,3708,Estimate!!Total:!!Moved within same county:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603708,B07001_049,3119,2372,Bronx,3708,Estimate!!Total:!!Moved from different county within same state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603708,B07001_065,717,458,Bronx,3708,Estimate!!Total:!!Moved from different state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603708,B07001_081,1864,1754,Bronx,3708,Estimate!!Total:!!Moved from abroad:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603708,B25010_001,2.92,2.78,Bronx,3708,Estimate!!Average household size --!!Total:,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603708,B25010_002,2.53,2.61,Bronx,3708,Estimate!!Average household size --!!Total:!!Owner occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603708,B25010_003,2.95,2.8,Bronx,3708,Estimate!!Average household size --!!Total:!!Renter occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603709,B05002_001,186386,185690,Bronx,3709,Estimate!!Total:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603709,B05002_003,99331,99180,Bronx,3709,Estimate!!Total:!!Native:!!Born in state of residence,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603709,B05002_004,8624,8909,Bronx,3709,Estimate!!Total:!!Native:!!Born in other state in the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603709,B05002_009,18981,16866,Bronx,3709,Estimate!!Total:!!Native:!!Born outside the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603709,B05002_013,59450,60735,Bronx,3709,Estimate!!Total:!!Foreign born:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603709,B07001_001,183857,183217,Bronx,3709,Estimate!!Total:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603709,B07001_017,165718,170127,Bronx,3709,Estimate!!Total:!!Same house 1 year ago:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603709,B07001_033,12717,8603,Bronx,3709,Estimate!!Total:!!Moved within same county:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603709,B07001_049,2820,2382,Bronx,3709,Estimate!!Total:!!Moved from different county within same state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603709,B07001_065,829,696,Bronx,3709,Estimate!!Total:!!Moved from different state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603709,B07001_081,1773,1409,Bronx,3709,Estimate!!Total:!!Moved from abroad:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603709,B25010_001,2.93,2.82,Bronx,3709,Estimate!!Average household size --!!Total:,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603709,B25010_002,3.25,3.17,Bronx,3709,Estimate!!Average household size --!!Total:!!Owner occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603709,B25010_003,2.84,2.72,Bronx,3709,Estimate!!Average household size --!!Total:!!Renter occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603710,B05002_001,157561,156731,Bronx,3710,Estimate!!Total:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603710,B05002_003,88736,88050,Bronx,3710,Estimate!!Total:!!Native:!!Born in state of residence,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603710,B05002_004,7630,7162,Bronx,3710,Estimate!!Total:!!Native:!!Born in other state in the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603710,B05002_009,16267,15027,Bronx,3710,Estimate!!Total:!!Native:!!Born outside the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603710,B05002_013,44928,46492,Bronx,3710,Estimate!!Total:!!Foreign born:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603710,B07001_001,155292,154674,Bronx,3710,Estimate!!Total:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603710,B07001_017,131705,137727,Bronx,3710,Estimate!!Total:!!Same house 1 year ago:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603710,B07001_033,12768,7918,Bronx,3710,Estimate!!Total:!!Moved within same county:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603710,B07001_049,8628,6650,Bronx,3710,Estimate!!Total:!!Moved from different county within same state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603710,B07001_065,1105,1421,Bronx,3710,Estimate!!Total:!!Moved from different state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603710,B07001_081,1086,958,Bronx,3710,Estimate!!Total:!!Moved from abroad:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603710,B25010_001,2.98,2.78,Bronx,3710,Estimate!!Average household size --!!Total:,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603710,B25010_002,3.25,3.06,Bronx,3710,Estimate!!Average household size --!!Total:!!Owner occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603710,B25010_003,2.96,2.76,Bronx,3710,Estimate!!Average household size --!!Total:!!Renter occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603801,B05002_001,214419,216591,Manhattan,3801,Estimate!!Total:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603801,B05002_003,79999,80146,Manhattan,3801,Estimate!!Total:!!Native:!!Born in state of residence,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603801,B05002_004,23875,29045,Manhattan,3801,Estimate!!Total:!!Native:!!Born in other state in the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603801,B05002_009,8214,7834,Manhattan,3801,Estimate!!Total:!!Native:!!Born outside the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603801,B05002_013,102331,99566,Manhattan,3801,Estimate!!Total:!!Foreign born:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603801,B07001_001,211547,214258,Manhattan,3801,Estimate!!Total:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603801,B07001_017,186227,189945,Manhattan,3801,Estimate!!Total:!!Same house 1 year ago:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603801,B07001_033,13690,12694,Manhattan,3801,Estimate!!Total:!!Moved within same county:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603801,B07001_049,5063,4591,Manhattan,3801,Estimate!!Total:!!Moved from different county within same state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603801,B07001_065,3466,4268,Manhattan,3801,Estimate!!Total:!!Moved from different state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603801,B07001_081,3101,2760,Manhattan,3801,Estimate!!Total:!!Moved from abroad:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
